#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-26T17:58:50 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-26T17:58:50	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/633/A51/handbook&-out.all&-out.max=500	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36330051
#Name: J/A+A/633/A51
#Title: Distances to molecular clouds in SFR (Zucker+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/633/a51	    IVOID of underlying data collection
#INFO	creator=Zucker C.	    First author or institution
#INFO	cites=bibcode:2020A&A...633A..51Z	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/633/A51	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36330051	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-01-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_A_A_633_A51_handbook:
#Name: J/A+A/633/A51/handbook
#Title: Star Formation Handbook Cloud Distances (table A1)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a17)	Cloud/star-forming region associated with sightline	[ucd=meta.id;meta.main]
#Column	GLON	(F5.1)	Galactic longitude of center of sightline	[ucd=pos.galactic.lon]
#Column	GLAT	(F5.1)	Galactic latitude of center of sightline	[ucd=pos.galactic.lat]
#Column	n16	(F7.4)	16th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	n50	(F7.4)	50th percentile of the samples for the normalization factor parameter N	[ucd=stat.fit.param]
#Column	n84	(F7.4)	84th percentile of the samples for the normalization factor parameter N	[ucd=stat.error]
#Column	f16	(F7.4)	16th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	f50	(F7.4)	50th percentile of the samples for the foreground extinction parameter f	[ucd=obs.atmos.extinction]
#Column	f84	(F7.4)	84th percentile of the samples for the foreground extinction parameter f	[ucd=stat.error]
#Column	m16	(F7.4)	16th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	m50	(F7.4)	50th percentile of the samples for the cloud distance modulus mu_c	[ucd=phot.mag.distMod]
#Column	m84	(F7.4)	84th percentile of the samples for the cloud distance modulus mu_c	[ucd=stat.error]
#Column	d16	(I4)	16th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	d50	(I4)	50th percentile of the samples for the cloud distance D_c	[ucd=pos.distance]
#Column	d84	(I4)	84th percentile of the samples for the cloud distance D_c	[ucd=stat.error]
#Column	p16	(F7.4)	16th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	p50	(F7.4)	50th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat]
#Column	p84	(F7.4)	84th percentile of the samples for the fraction of outlier stars Pb	[ucd=stat.error]
#Column	sfore16	(F7.4)	16th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sfore50	(F7.4)	50th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.fit.param]
#Column	sfore84	(F7.4)	84th percentile of the samples for the foreground smoothing parameter sfore	[ucd=stat.error]
#Column	sback16	(F7.4)	16th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	sback50	(F7.4)	50th percentile of the samples for the background smoothing parameter sback	[ucd=stat.fit.param]
#Column	sback84	(F7.4)	84th percentile of the samples for the background smoothing parameter sback	[ucd=stat.error]
#Column	new	(I1)	[0/1]? Whether the sightline is novel to this work (1), or taken from Zucker et al. 2019ApJ...879..125Z (0) (1)	[ucd=meta.code]
#Column	SimbadName	(a35)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Name	GLON	GLAT	n16	n50	n84	f16	f50	f84	m16	m50	m84	d16	d50	d84	p16	p50	p84	sfore16	sfore50	sfore84	sback16	sback50	sback84	new	SimbadName	_RA.icrs	_DE.icrs
 	 	deg	deg	 	 	 	mag	mag	mag	mag	mag	mag	pc	pc	pc	 	 	 	 	 	 	 	 	 	 	 	deg	deg
--------	-----------------	-----	-----	-------	-------	-------	-------	-------	-------	-------	-------	-------	----	----	----	-------	-------	-------	-------	-------	-------	-------	-------	-------	-	-----------------------------------	--------	--------
       1	Aquila_Rift      	021.8	+09.2	 0.7291	 0.7346	 0.7398	 0.6993	 0.7048	 0.7098	 7.1292	 7.2204	 7.3093	 266	 278	 289	 0.0323	 0.0404	 0.0505	 0.0695	 0.0798	 0.0891	 0.0838	 0.0878	 0.0920	1	Aquila_Rift                        	269.5462	-05.5500
       2	Aquila_Rift      	016.7	+11.1	 0.6629	 0.6700	 0.6782	 0.6053	 0.6120	 0.6195	 6.5557	 6.5906	 6.6624	 204	 208	 215	 0.0274	 0.0360	 0.0458	 0.0925	 0.1020	 0.1140	 0.0591	 0.0645	 0.0690	1	Aquila_Rift                        	265.3954	-08.9942
       3	Aquila_Rift      	018.3	+12.7	 0.6970	 0.7055	 0.7135	 0.6931	 0.7017	 0.7098	 6.9840	 7.0242	 7.0611	 249	 254	 258	 0.0227	 0.0298	 0.0386	 0.0927	 0.1012	 0.1108	 0.0795	 0.0840	 0.0885	1	Aquila_Rift                        	264.7861	-06.8385
       4	Aquila_Rift      	021.5	+11.9	 0.7225	 0.7307	 0.7388	 0.4460	 0.4512	 0.4563	 7.2172	 7.2381	 7.2628	 277	 280	 283	 0.0385	 0.0477	 0.0581	 0.0467	 0.0511	 0.0555	 0.0676	 0.0709	 0.0747	1	Aquila_Rift                        	267.0286	-04.5071
       5	Aquila_Rift      	016.0	+16.6	 0.7488	 0.7548	 0.7607	 0.5254	 0.5298	 0.5341	 5.9967	 6.0697	 6.1094	 158	 163	 166	 0.0270	 0.0332	 0.0413	 0.0911	 0.1061	 0.1217	 0.0473	 0.0499	 0.0525	1	Aquila_Rift                        	260.2646	-06.7838
       6	Aquila_S         	038.9	-19.1	 0.8635	 0.8715	 0.8798	 0.0741	 0.0897	 0.0910	 5.4090	 5.4624	 5.5117	 120	 123	 126	 0.0161	 0.0198	 0.0242	 0.0326	 0.0418	 0.0554	 0.0168	 0.0178	 0.0189	0	NAME Aquila South Cloud            	302.5332	-03.5411
       7	Aquila_S         	039.3	-16.8	 0.7765	 0.7811	 0.7856	 0.1363	 0.1380	 0.1392	 5.5002	 5.5435	 5.5940	 125	 128	 131	 0.0157	 0.0192	 0.0241	 0.0484	 0.0570	 0.0673	 0.0179	 0.0191	 0.0203	0	NAME Aquila South Cloud            	300.6697	-02.1373
       8	Aquila_S         	037.8	-17.5	 0.8514	 0.8572	 0.8628	 0.1181	 0.1199	 0.1210	 5.6399	 5.6634	 5.6871	 134	 135	 137	 0.0143	 0.0179	 0.0221	 0.0573	 0.0673	 0.0792	 0.0196	 0.0208	 0.0219	0	NAME Aquila South Cloud            	300.6283	-03.7318
       9	Aquila_S         	036.8	-15.1	 0.7635	 0.7685	 0.7737	 0.1041	 0.1055	 0.1065	 5.7418	 5.7891	 5.8351	 140	 143	 146	 0.0150	 0.0185	 0.0227	 0.0358	 0.0433	 0.0527	 0.0188	 0.0198	 0.0208	0	NAME Aquila South Cloud            	298.0500	-03.4869
      10	Ara              	336.7	-02.0	 0.5102	 0.5125	 0.5150	 1.0488	 1.1867	 1.1942	10.1052	10.1353	10.1610	1049	1064	1076	 0.0641	 0.0775	 0.0933	 0.0966	 0.1053	 0.1146	 0.1272	 0.1306	 0.1343	1	Ara                                	250.8110	-49.0520
      11	Ara              	336.4	-01.7	 0.3997	 0.4023	 0.4050	 0.5889	 0.6395	 0.6970	10.0696	10.0988	10.1288	1032	1046	1061	 0.2342	 0.2580	 0.2818	 0.0334	 0.0432	 0.0546	 0.1328	 0.1371	 0.1423	1	Ara                                	250.1650	-49.0798
      12	CB28             	204.0	-25.3	 0.5971	 0.6180	 0.6392	 0.1220	 0.1273	 0.1320	 7.8379	 8.0025	 8.1711	 369	 398	 430	 0.0331	 0.0408	 0.0497	 0.0226	 0.0283	 0.0357	 0.0423	 0.0450	 0.0479	1	[CB88] 28                          	076.4080	-04.0107
      13	CB29             	205.8	-21.6	 0.6808	 0.6909	 0.7008	 0.1780	 0.1811	 0.1838	 7.8084	 7.8691	 7.9270	 364	 374	 384	 0.0216	 0.0261	 0.0313	 0.0321	 0.0386	 0.0461	 0.0324	 0.0341	 0.0359	1	[CB88] 29                          	080.4594	-03.7339
      14	CB34             	187.0	-03.9	 0.5647	 0.5686	 0.5725	 0.4139	 0.4168	 0.4197	10.5751	10.6074	10.6275	1303	1322	1335	 0.0316	 0.0377	 0.0441	 0.0393	 0.0425	 0.0457	 0.0565	 0.0586	 0.0608	1	[CB88] 34                          	086.7299	+20.9332
