cloud lmed bmed dmin dmed dmax xmin xmax ymin ymax zmin zmax num_components total_length
Chamaeleon 299.0 -15.9 173 183 190 69 99 -159 -148 -57 -35 1 68
Ophiuchus 355.4 17.0 115 136 150 104 144 -26 5 24 48 3 74
Lupus 341.7 5.1 155 165 198 139 196 -73 -28 4 47 3 80
Taurus 172.6 -15.6 131 148 168 -166 -122 6 44 -45 -26 3 79
Perseus 158.9 -20.2 279 295 301 -270 -236 95 100 -116 -81 1 57
Musca 301.0 -9.7 171 172 173 86 91 -146 -145 -36 -22 1 16
Pipe 2.1 4.1 147 152 163 146 163 -8 7 6 18 1 27
Cepheus 112.1 15.9 337 345 370 -133 -65 300 323 81 133 4 52
Coraus 6.5 -24.6 136 161 179 132 162 -2 24 -77 -33 1 86
Oriona 212.5 -19.6 391 405 445 -349 -315 -241 -177 -149 -118 3 52
Orionb 205.5 -14.0 397 404 406 -362 -332 -190 -157 -114 -76 1 69
Orionlam 194.3 -14.6 375 386 397 -367 -356 -129 -73 -109 -73 3 62
