source_id	teff_gspphot	logg_gspphot	mh_gspphot	azero_gspphot	teff_gspspec	logg_gspspec	mh_gspspec
164919361120841856	6115.373	3.4688	-0.4904	0.677	6624.0	4.17	-0.07
198919284311540480					6654.0	4.1	-0.27
565801708627100928					3942.0	0.67	-0.32
1414259445547666432	4857.228	1.4577	-0.0087	2.0389	4250.0	1.5	-1.2
1531051632235916928	5728.478	4.4075	-0.2425	0.0	5872.0	4.55	-0.02
1631144127080202752	6807.42	3.6578	-0.3636	0.0655			
1669354526966928512					4630.0	2.13	-0.08
1819740436019617792	4984.8745	2.3992	-0.0838	0.4011	4767.0	1.68	-0.13
1845302603898093824	4950.627	2.8673	-0.0993	0.2279	4910.0	2.48	0.01
1932994222486995968					4925.0	2.35	0.1
2013630893446412672	16654.035	3.7168	0.0042	0.4863			
2135913762018825216	4796.3286	2.5726	-0.0556	0.128	4714.0	2.14	-0.03
2150332040247921536	4739.28	2.5158	-0.2474	0.0005	4763.0	2.22	-0.13
2359514093071811456					4039.0	1.11	-0.15
2380427079109436416					4634.0	2.15	-0.4
2735496904552757120					3801.0	0.36	-0.66
3023711269067191296	5647.247	4.4267	-0.5255	0.0	5685.0	4.25	-0.33
3113591259402371456	8412.024	2.9476	-1.8469	0.5879			
3305738406773071744							
3334317359679513344					4018.0	0.93	-0.5
3349892319846997504	7689.112	4.2065	-0.294	0.1602			
3354354958366435968	8753.775	3.6237	-1.3066	0.6925			
4035711559508954624	7599.4077	3.556	-1.7216	0.093			
4044794285838630784							
4048759773228206592	9075.718	3.8794	0.4551	0.5193			
4096053410471722496	12089.821	3.5021	-0.1574	0.5415			
4103562804371355392					6706.0	0.72	0.05
4291784420324018432	11288.7705	3.7836	-0.3202	0.4088			
4314964771161446144					7971.0	4.82	
5299200644908025216					4965.0	2.42	-0.09
5310097423619689728							
5382633923664759808							
5824155702736281344					4626.0	2.09	-0.16
5953612992056324992							
5991017587386390272					8090.0	5.14	
5992354387352818688	9509.961	3.785	-0.7944	1.3656	7475.0	3.97	-2.0
6064874188574049152	9442.079	4.1729	-0.2848	0.5174			
6232697626165250816	6658.3833	3.8912	-0.5469	0.2126			
6285208209859825792	7594.8076	3.8346	-1.578	0.129			
224228117835711872	7990.59	3.824	-0.163	0.7164			
845712496904278400	4687.995	2.529	-0.0415	0.1223	4593.0	2.01	0.01
867141875450576128					3823.0	0.92	-0.19
996480589321978752					4426.0	0.91	-0.31
1178879019929247488	6580.1943	4.0084	-0.7375	0.0323	6566.0	3.97	-0.65
1694790903841884288					3835.0	0.52	-0.75
1809750445184211456	4775.7373	2.5129	-0.4226	0.0003	4923.0	2.41	-0.0
